HUC_12,Crop_P_removal_kg_ha
010500021405,0.163222383411
010500021406,0.424059383428
010500021407,0.0
010500021408,0.0435497262162
010500021409,0.0
010500021410,0.0
010500021501,0.0
010500021502,0.0
010500021503,0.0
010500021504,0.184519422244
010500021505,0.476443065766
010500021506,0.221238641933
010500021507,0.260626924033
010500021508,0.0
010500021509,0.00149646369716
010500021601,0.268361192461
010500021602,0.464806549753
010500021701,0.330812017178
010500021703,0.0
010500021801,0.841630495325
010500021802,0.373152939988
010500021803,0.330229232192
010500021901,0.494468507178
010500021902,0.773749489648
010500021903,0.395444463216
010500021904,0.441740746651
010500021905,0.446253434109
010500021906,0.595628637774
010500021907,0.241473502636
010500021908,0.0
010500021909,0.000407154842386
010500030101,0.24473618662
010500030102,0.464120017499
010500030103,0.611108416858
010500030104,0.586623983306
010500030105,0.253641205514
010500030106,0.576312229733
010500030107,0.395759829914
010500030201,0.364880617702
010500030202,0.323632919389
010500030203,0.360099456977
010500030204,0.0422340648374
010500030205,0.0
010500030206,0.0
010500030301,0.114463483055
010500030302,0.336897757511
010500030303,0.0403259192701
010500030304,0.158488468235
010500030305,0.0188710417982
010500030306,0.0
010500030307,0.0
010500030401,0.282420389353
010500030402,0.742262354734
010500030403,0.283283311877
010500030404,0.312067671136
010500030405,0.187246122267
010500030406,0.49711839171
010500030501,0.160118897245
010500030502,0.0833766498975
010500030503,0.126318997712
010500030504,0.0
010500030601,1.03848305343
010500030602,0.170896978135
010500030603,0.0647228604315
010500030604,0.00567144164835
010500040203,0.281513107707
010500040204,0.450540279283
010500040401,0.332737116082
010500040402,0.311182805973
010500040403,0.0772353230654
010500040404,0.44569208642
010500040501,0.258612637937
010500040502,0.110293778
010500040601,0.0417803572281
010500040602,0.084932781824
010500040603,0.0922943286874
010500040604,0.0340511529727
010500040605,0.0685269973857
010500040606,0.177096830642
010500040702,0.0
010500040901,0.135859589751
010500040902,0.218276337568
010500040903,0.0
010500040904,0.0
010600010101,0.0610550570003
010600010102,0.179624800087
010600010103,0.328956653796
010600010104,0.120244083942
010600010105,0.260004800792
010600010106,0.214462674467
010600010107,0.131083856207
010600010108,0.16737865279
010600010109,0.0421237899942
010600010110,0.0410472810415
010600010201,0.686289416158
010600010202,0.490894220836
010600010203,0.648784653694
010600010204,0.684379506607
010600010205,0.762759428819
010600010206,0.632739849889
010600010301,0.360879907678
010600010302,1.15137542071
010600010303,1.13517521659
010600010304,1.05522786549
010600010305,0.585074540205
010600010306,0.14444421425
010600010401,0.942782635155
010600010402,0.225040078244
010600010501,0.468940163237
010600010502,0.0935438736793
010600010503,0.420637074421
010600010504,0.0926451012209
010600010505,0.31020129665
010600010506,0.0
010600010507,0.0
010600010601,0.239793440021
010600010602,0.284674065159
010600010603,0.264808072468
010600010606,0.0
010600010607,0.000777500782861
010600020101,0.00353252432128
010600020102,0.0
010600020103,0.0
010600020104,0.0348164829166
010600020105,0.0202081584591
010600020106,0.0408120860561
010600020201,0.0
010600020202,0.0
010600020203,0.0150238280989
010600020204,0.0426783824803
010600020301,0.00891574592137
010600020302,0.276146810841
010600020303,0.106325816802
010600020304,0.386904719567
010600020401,0.102370051378
010600020402,0.0372819866858
010600020403,0.12792252594
010600020404,1.36072574323
010600020405,0.186716620516
010600020406,0.0831420854568
010600020501,0.13826142951
010600020502,0.119906736781
010600020503,0.0827027812024
010600020504,0.162785111893
010600020601,0.0544161998938
010600020602,0.0665767747175
010600020603,0.0716974574363
010600020604,0.0308433877491
010600020605,0.105091032723
010600020701,0.0250208187778
010600020702,0.0578349242749
010600020703,0.0957090995398
010600020801,0.0480131111589
010600020802,0.0028392757435
010600020803,0.0645094661569
010600020804,0.0775191635239
010600020901,0.237085330634
010600020902,0.11954016972
010600020903,0.176230685781
010600020904,0.269928539817
010600021001,0.126199935466
010600021002,0.163119808189
010600021003,0.0567213999153
010600021004,0.387580952089
010600021005,0.332719225454
010600021006,0.226213325929
010600021007,0.290220400445
010600021101,0.218217728271
010600021102,0.40324510865
010600021103,0.501192433096
010600021104,0.877723017929
010600021105,0.823563315652
010600021106,0.190494139882
010600030101,0.323683670992
010600030102,0.582727794601
010600030103,0.0
010600030104,0.0
010600030201,0.294721565876
010600030202,0.311434553084
010600030203,0.326201142978
010600030204,0.318714069349
010600030205,0.276935336836
010600030206,0.0
010600030207,0.0
010600030301,0.301098645704
010600030302,0.0
010600030303,0.0
010600030401,0.414166830278
010600030402,0.501306732672
010600030501,0.141066113543
010600030502,0.193586016582
010600030503,0.136356534425
010600030504,0.312143268543
010600030505,0.457077366074
010600030506,0.418006521483
010600030507,0.853118811651
010600030601,0.249568247722
010600030602,0.824364489948
010600030603,0.485253128171
010600030604,0.154283158176
010600030605,0.387947578065
010600030606,0.494807507042
010600030607,0.302528498892
010600030608,0.89277087652
010600030701,0.164991728374
010600030702,0.231872758983
010600030703,0.0705041813556
010600030704,0.213767971271
010600030705,0.191857934612
010600030706,0.489830204965
010600030707,0.137827704242
010600030708,0.296302900377
010600030709,0.868600659663
010600030801,0.442357752092
010600030802,0.232302135012
010600030803,0.502467352223
010600030804,0.489775630282
010600030805,0.806158146252
010600030806,0.49288235603
010600030901,0.393073513291
010600030902,0.675071038369
010600030903,0.627021666897
010600030904,0.401737633943
010600031001,0.450133856301
010600031002,0.143618454477
010600031003,0.406129733338
010600031005,0.0844972401832
010600031101,0.249789592109
010600031102,0.114580726008
010600031103,0.416268686626
010600031104,0.0243655021353
010600031106,0.0
010700010101,0.0
010700010102,0.0
010700010103,0.0
010700010104,0.00372550979799
010700010201,0.00079337625862
010700010202,0.00337209487864
010700010203,0.0428856923487
010700010204,0.00791520790688
010700010205,0.1358086513
010700010206,0.117127340835
010700010301,0.010025228606
010700010302,0.206162340141
010700010303,0.146863644004
010700010304,0.0749147041084
010700010305,0.0205260388859
010700010306,0.232727047188
010700010307,0.463753315803
010700010401,0.014107549393
010700010402,0.0700609494247
010700010403,0.122347082507
010700010404,0.317294418934
010700010501,0.0924357202335
010700010502,0.228413409023
010700010601,0.136474833861
010700010602,0.235131859218
010700010603,0.103874693959
010700010701,0.152050144412
010700010702,0.269720157471
010700010801,0.254622962744
010700010802,0.278416641296
010700010803,0.152293591199
010700010804,0.359270718782
010700020101,0.143565089767
010700020102,0.140584333599
010700020103,0.107759223746
010700020104,0.0844527451417
010700020105,0.0858524440764
010700020106,0.0396281150504
010700020107,0.195811051088
010700020108,0.11119015944
